"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dataset_size","epochs","hidden_dim","latent_dim","learning_rate","n_components","test_size","training_size","epoch","explained_variance_ratio","min_overall_loss","min_test_loss","min_test_recon_loss","min_train_loss","min_train_recon_loss","n_model_params","name","overall_loss","test_loss","test_recon_loss","train_loss","train_recon_loss","unexplained_variance_ratio"
"AE-kingma-more-hidden-dims-inp50-ds5000-hid60_latent_2000","finished","-","dhjayalath","","2023-03-01T06:48:00.000Z","139","","10","500","200","60","2000","0.001","","","","199","","","0.04327614495754242","","4.0296210218429565","","248170","","","4.136189381408691","","0.048672487843036655","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid60_latent_1500","finished","-","dhjayalath","","2023-03-01T06:45:37.000Z","141","","10","500","200","60","1500","0.001","","","","199","","","0.03449812762737274","","3.85965396938324","","187670","","","4.607309203910828","","0.037657142025232314","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid60_latent_1000","finished","-","dhjayalath","","2023-03-01T06:43:14.000Z","141","","10","500","200","60","1000","0.001","","","","199","","","0.03538729594349861","","3.5620660654067993","","127170","","","4.557383060836792","","0.037033526021242144","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid60_latent_900","finished","-","dhjayalath","","2023-03-01T06:40:52.000Z","139","","10","500","200","60","900","0.001","","","","199","","","0.03156524524986744","","3.61886547164917","","115070","","","4.456497408866882","","0.03414064318239689","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid60_latent_750","finished","-","dhjayalath","","2023-03-01T06:38:29.000Z","141","","10","500","200","60","750","0.001","","","","199","","","0.03374539951980114","","3.750752818870545","","96920","","","4.254932522201538","","0.036809382915496826","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid60_latent_600","finished","-","dhjayalath","","2023-03-01T06:36:08.000Z","139","","10","500","200","60","600","0.001","","","","199","","","0.029805115321278573","","3.900333208084106","","78770","","","4.9045879287719725","","0.03283546533584595","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid60_latent_500","finished","-","dhjayalath","","2023-03-01T06:33:46.000Z","140","","10","500","200","60","500","0.001","","","","199","","","0.030796034076809885","","3.740012050819397","","66670","","","4.828650013542175","","0.03603342126309872","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid60_latent_350","finished","-","dhjayalath","","2023-03-01T06:31:25.000Z","139","","10","500","200","60","350","0.001","","","","199","","","0.034111417070031166","","3.792449541091919","","48520","","","4.055251640319824","","0.03918669388890266","",""
"AE-kingma-bigger-hidden-dims-inp50-ds5000-hid184_latent_5000","finished","-","ygideoni","","2023-03-01T06:30:00.000Z","3548","","10","500","200","184","5000","0.001","","","","199","","","0.009713444962352514","","1.6103708477020264","","1863818","","","2.014063384628296","","0.01165128430724144","",""
"AE-kingma-more-hidden-dims-inp50-ds5000-hid60_latent_200","finished","-","dhjayalath","","2023-03-01T06:29:04.000Z","139","","10","500","200","60","200","0.001","","","","199","","","0.04095403534173966","","3.991364822387695","","30370","","","4.0041856832504275","","0.042964522302150726","",""
